Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
 tiomersal,thimerosal,CDC,CDC,,,Health,,"El timerosal es un conservante a base de mercurio etílico que se utiliza en viales que contienen más de una dosis de una vacuna (viales de dosis múltiples) para evitar que gérmenes, bacterias u hongos contaminen la vacuna.",,,,,,,,,,,Latin America (not PR),,,,,CDC
“patient report” el paciente manifiesta,report,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
(no misión necesariamente),mission statement,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
a juicio de,based on,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
a la larga,ultimately,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
a partir de,based on,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
a simple vista,to the eye,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
abanico,range,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
abdominosquisis,abdominoschisis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ablación,ablation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
abogado,lawyer,FDA,FDA,,,Health,Veterinarian,,"a person who is an expert on laws. Most lawyers at CVM are experts on the Federal Food, Drug, and Cosmetic Act. This is the basic food and drug law in the U.S. and it governs food and drugs for both people and animals.",,,,,,,,,,,,,,,
abogar,advocate,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
abordaje,approach,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
aborto,abortus ,NIH,NIH,,A,Health,,,,,,,,,,,,,,,,,,
aborto espontáneo,miscarriage,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
absorciometría de rayos X de energía dual (DEXA),dual-energy X-ray absorptiometry ,NIH,NIH,,DEXA,Health,,,,,,,,,,,,,,,,,,
abuso de sustancias,"substance abuse,substance abuse",CDC,CDC,,,"Health,Health",Tobacco,,According to space,,,,,,,,,,,,,,,
acantocefaliasis,acanthocephaliasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acantosis nigricans,acanthosis nigricans,CDC,CDC,,,Health,,,,The term nigricans should be in italics.,,,,,,,,,,,,,,
acarbosa,acarbose,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
acardia-acefalia,acardia-acephaly,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Acceder a,access,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
accesibilidad,accessibility,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
acceso,approach,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Acceso a Tratamiento Asistido con Medicamentos,Medication Assisted Treatment Access ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
acceso ampliado a medicamento en investigación,"EA-IND,expanded access investigational new drug",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
